vin,model,mfg_year,fuel_type
C617565F,Western Star 49X,2017,LNG
P990618V,Peterbilt 579,2024,CNG
G442511C,Mack Anthem,2020,Diesel
L954551Q,Peterbilt 579,2020,CNG
B241528P,Mack Anthem,2021,Diesel
X484016F,Volvo VNL,2019,LNG
T706491T,Freightliner Cascadia,2015,Electric
B533752G,Freightliner Cascadia,2024,Electric
R569146G,Navistar 4300,2021,Diesel
M641573E,Peterbilt 579,2017,CNG
M684091R,Volvo VNL,2015,LNG
A178109F,Western Star 49X,2016,LNG
W195714G,Peterbilt 579,2018,CNG
S495149P,Hino 268,2019,CNG
N558387Y,Peterbilt 579,2024,CNG
B807296U,Mack Anthem,2020,Diesel
H180843H,Freightliner Cascadia,2015,Electric
D168482T,Peterbilt 579,2024,CNG
D230990B,Mack Anthem,2018,Diesel
P464450B,Navistar 4300,2015,Diesel
R060451N,Mack Anthem,2015,Diesel
O908187N,Peterbilt 579,2017,CNG
T002763I,International LT,2018,Diesel
B722373N,Freightliner Cascadia,2021,Electric
C504326V,International LT,2022,Diesel
N904735U,Western Star 49X,2024,LNG
N226549D,Kenworth T680,2022,Diesel
X539734G,Freightliner Cascadia,2023,Electric
J359964A,Hino 268,2019,CNG
N060098T,Peterbilt 579,2016,CNG
F727405Q,Hino 268,2016,CNG
M316411N,Freightliner M2,2015,Diesel
T136564D,Hino 268,2015,CNG
C254260A,Freightliner M2,2019,Diesel
H289223Q,Freightliner M2,2019,Diesel
I357993P,Freightliner Cascadia,2021,Electric
K959458K,Hino 268,2017,CNG
U251747L,Volvo VNL,2015,LNG
Z949775X,International LT,2018,Diesel
Q512889V,Peterbilt 579,2021,CNG
A638367B,International LT,2016,Diesel
F570310K,Mack Anthem,2021,Diesel
W213387Y,Freightliner M2,2019,Diesel
V342144G,Freightliner M2,2016,Diesel
K354574G,Mack Anthem,2017,Diesel
J839683S,Mack Anthem,2022,Diesel
C252543N,Peterbilt 579,2016,CNG
W353521E,Freightliner M2,2022,Diesel
Y734660B,Kenworth T680,2015,Diesel
G899247W,Volvo VNL,2016,LNG
C756108Q,Peterbilt 579,2022,CNG
G103022T,Hino 268,2023,CNG
L239551G,Mack Anthem,2019,Diesel
J698323J,Freightliner M2,2024,Diesel
A541422O,Freightliner Cascadia,2016,Electric
U262144M,Kenworth T680,2018,Diesel
H715045N,Volvo VNL,2021,LNG
G678778Z,Western Star 49X,2015,LNG
N011591L,Freightliner M2,2022,Diesel
T684232R,Western Star 49X,2022,LNG
N635546R,Western Star 49X,2017,LNG
F033693C,Freightliner M2,2024,Diesel
L571973M,Freightliner M2,2016,Diesel
I815455D,Mack Anthem,2019,Diesel
L876260N,Freightliner Cascadia,2018,Electric
A564093N,Mack Anthem,2015,Diesel
F998689M,Mack Anthem,2018,Diesel
K507867Z,Peterbilt 579,2022,CNG
G999938K,Freightliner M2,2015,Diesel
Y194874H,Hino 268,2021,CNG
J231900S,Navistar 4300,2022,Diesel
H155175W,Peterbilt 579,2015,CNG
M637353K,Mack Anthem,2020,Diesel
Z702899A,Volvo VNL,2024,LNG
V686858R,International LT,2022,Diesel
D311621T,Freightliner Cascadia,2023,Electric
D651494N,Kenworth T680,2020,Diesel
B965431V,International LT,2023,Diesel
R577103D,Navistar 4300,2017,Diesel
J275960O,International LT,2020,Diesel
C895869M,Western Star 49X,2017,LNG
K358434M,Hino 268,2021,CNG
V149452G,International LT,2022,Diesel
I258606P,International LT,2019,Diesel
R098180R,Kenworth T680,2022,Diesel
H099915Z,Navistar 4300,2021,Diesel
J414050W,International LT,2021,Diesel
T013474K,Volvo VNL,2024,LNG
L963641K,Mack Anthem,2017,Diesel
S647254O,International LT,2020,Diesel
U924539Z,Freightliner Cascadia,2022,Electric
F042408D,Navistar 4300,2017,Diesel
S442539S,Freightliner M2,2020,Diesel
G685276L,Navistar 4300,2017,Diesel
K091881J,Hino 268,2020,CNG
X466142X,Navistar 4300,2017,Diesel
A809702M,Hino 268,2017,CNG
W790963G,Peterbilt 579,2021,CNG
P591175N,Volvo VNL,2021,LNG
N317025P,Volvo VNL,2023,LNG
D797086T,Navistar 4300,2015,Diesel
L377587X,Navistar 4300,2016,Diesel
C537172R,Hino 268,2015,CNG
A153330M,Mack Anthem,2023,Diesel
C256964W,Kenworth T680,2018,Diesel
W413311F,International LT,2022,Diesel
I968394W,Volvo VNL,2020,LNG
F422663X,International LT,2023,Diesel
N430990P,Western Star 49X,2023,LNG
Y491315O,Western Star 49X,2018,LNG
N536671Z,Hino 268,2020,CNG
U463514K,Western Star 49X,2016,LNG
R282325N,Peterbilt 579,2022,CNG
W485297N,Kenworth T680,2018,Diesel
C934965D,Freightliner M2,2023,Diesel
H583352Q,Volvo VNL,2022,LNG
B970640S,Kenworth T680,2016,Diesel
C123154J,Mack Anthem,2018,Diesel
C447830V,Western Star 49X,2019,LNG
O016327B,Peterbilt 579,2023,CNG
B349141R,Volvo VNL,2018,LNG
A526963T,Freightliner M2,2015,Diesel
Q272126R,Freightliner M2,2019,Diesel
G543676P,Volvo VNL,2018,LNG
E796746O,Kenworth T680,2016,Diesel
A269863Y,Volvo VNL,2019,LNG
N133327X,Freightliner Cascadia,2016,Electric
K882170P,Western Star 49X,2020,LNG
E671996S,Western Star 49X,2015,LNG
H949185T,Hino 268,2019,CNG
Y756160N,International LT,2021,Diesel
B849526A,International LT,2018,Diesel
U822879T,Mack Anthem,2021,Diesel
Y614109Y,Hino 268,2024,CNG
K159293U,Freightliner Cascadia,2024,Electric
G578908V,Hino 268,2015,CNG
T069030X,Freightliner Cascadia,2015,Electric
D347112I,Freightliner Cascadia,2020,Electric
O730238X,International LT,2015,Diesel
C951292D,Mack Anthem,2022,Diesel
X223033V,Western Star 49X,2023,LNG
N823398R,Volvo VNL,2021,LNG
L511139F,Hino 268,2024,CNG
C738792J,International LT,2022,Diesel
Z767823A,Freightliner M2,2021,Diesel
Z842296W,Freightliner M2,2022,Diesel
Y651444G,Volvo VNL,2022,LNG
Z657430J,Mack Anthem,2023,Diesel
O068148T,Volvo VNL,2016,LNG
J991987D,Peterbilt 579,2016,CNG
A298113W,Freightliner Cascadia,2021,Electric
H084339S,International LT,2018,Diesel
L198117A,Hino 268,2022,CNG
W330507R,Freightliner M2,2020,Diesel
K950443C,Mack Anthem,2023,Diesel
J192980T,Freightliner Cascadia,2018,Electric
R844161Y,Hino 268,2021,CNG
H936240V,Volvo VNL,2015,LNG
P851632G,Kenworth T680,2024,Diesel
T137057Q,Freightliner M2,2023,Diesel
K410376L,Freightliner Cascadia,2016,Electric
I659415X,Navistar 4300,2017,Diesel
O838516U,Freightliner Cascadia,2019,Electric
Y781164X,Hino 268,2021,CNG
G466847M,Navistar 4300,2015,Diesel
M290102P,Mack Anthem,2024,Diesel
J158511X,Volvo VNL,2023,LNG
Y811014C,Freightliner Cascadia,2017,Electric
Z235359G,Freightliner Cascadia,2019,Electric
D289014I,Kenworth T680,2015,Diesel
Z123563F,Mack Anthem,2024,Diesel
C676602G,International LT,2021,Diesel
O689278J,Volvo VNL,2017,LNG
I847871E,Volvo VNL,2018,LNG
Q938347C,Freightliner Cascadia,2022,Electric
O051047A,Peterbilt 579,2015,CNG
N802821H,Western Star 49X,2017,LNG
V148241T,Western Star 49X,2015,LNG
K304446D,Mack Anthem,2017,Diesel
A894259O,Peterbilt 579,2020,CNG
C490019A,Hino 268,2022,CNG
A893345D,Peterbilt 579,2022,CNG
M419511O,Volvo VNL,2016,LNG
E030766E,Kenworth T680,2017,Diesel
U061668R,Kenworth T680,2024,Diesel
H648209F,Hino 268,2015,CNG
G284818I,Freightliner Cascadia,2022,Electric
X696923R,International LT,2021,Diesel
J440557T,Freightliner M2,2023,Diesel
A772139M,International LT,2023,Diesel
A620916Q,Volvo VNL,2021,LNG
M494172E,Freightliner Cascadia,2015,Electric
B901706H,Mack Anthem,2021,Diesel
Y637218X,Navistar 4300,2021,Diesel
U893584U,Volvo VNL,2016,LNG
F047057Z,Volvo VNL,2019,LNG
S265656R,International LT,2022,Diesel
D165666G,Western Star 49X,2023,LNG
C571112F,Peterbilt 579,2017,CNG
X018058K,Volvo VNL,2015,LNG
Z359679L,Kenworth T680,2016,Diesel
D625525A,Hino 268,2017,CNG
M150335Z,Peterbilt 579,2022,CNG
E848086G,Navistar 4300,2020,Diesel
R683043J,Navistar 4300,2019,Diesel
N299785I,Freightliner Cascadia,2016,Electric
I101339K,Kenworth T680,2024,Diesel
D309040P,Western Star 49X,2016,LNG
Q765849B,Navistar 4300,2015,Diesel
V140565A,Peterbilt 579,2018,CNG
R257870V,Kenworth T680,2019,Diesel
J909590R,Kenworth T680,2021,Diesel
M799046Z,Freightliner M2,2020,Diesel
W919918M,Freightliner M2,2023,Diesel
Y864883I,Freightliner M2,2016,Diesel
Y696163C,Navistar 4300,2019,Diesel
M717752A,Hino 268,2023,CNG
W942691R,Freightliner M2,2019,Diesel
Q897881O,Kenworth T680,2020,Diesel
Y412452C,Peterbilt 579,2022,CNG
V705087V,Peterbilt 579,2018,CNG
I056244F,Freightliner Cascadia,2022,Electric
L888678T,Freightliner Cascadia,2018,Electric
K501391M,Volvo VNL,2017,LNG
T870741K,Western Star 49X,2023,LNG
T013498N,Navistar 4300,2016,Diesel
S828140Y,Kenworth T680,2017,Diesel
Y247863W,Navistar 4300,2017,Diesel
O723627O,Volvo VNL,2022,LNG
U089034X,Navistar 4300,2016,Diesel
W446843L,Hino 268,2017,CNG
Y109549J,Peterbilt 579,2021,CNG
Y617730E,International LT,2018,Diesel
N909919P,Mack Anthem,2021,Diesel
D846761B,Freightliner M2,2021,Diesel
N995110T,Freightliner M2,2020,Diesel
I562576E,Western Star 49X,2015,LNG
W090280D,Peterbilt 579,2020,CNG
W955000Q,Western Star 49X,2022,LNG
R441566P,Hino 268,2018,CNG
B057275J,Kenworth T680,2022,Diesel
I202175K,Hino 268,2023,CNG
M283905D,Western Star 49X,2017,LNG
Q013760D,Peterbilt 579,2024,CNG
M203248M,Navistar 4300,2019,Diesel
F237756E,Freightliner Cascadia,2016,Electric
N946685L,Western Star 49X,2024,LNG
A414842P,Freightliner M2,2021,Diesel
C898807W,Volvo VNL,2023,LNG
R746585V,Volvo VNL,2017,LNG
F785645X,Freightliner M2,2020,Diesel
P924279Q,Mack Anthem,2021,Diesel
F682985Z,Mack Anthem,2022,Diesel
U522873G,International LT,2019,Diesel
P187786Q,Navistar 4300,2024,Diesel
C144877T,International LT,2019,Diesel
B763971M,Freightliner Cascadia,2023,Electric
F188727K,Freightliner Cascadia,2021,Electric
Q606888Y,Hino 268,2023,CNG
Q742050U,Hino 268,2024,CNG
E784622Z,Hino 268,2017,CNG
U346518Z,Freightliner Cascadia,2020,Electric
E515312S,Volvo VNL,2022,LNG
P138298E,International LT,2023,Diesel
U908686Y,Navistar 4300,2024,Diesel
F146601A,Volvo VNL,2019,LNG
C593967G,Mack Anthem,2019,Diesel
E552264V,Mack Anthem,2024,Diesel
S246552Q,Navistar 4300,2018,Diesel
U957873H,International LT,2020,Diesel
K683202Z,Peterbilt 579,2024,CNG
D711318D,Peterbilt 579,2020,CNG
C214980U,Mack Anthem,2018,Diesel
C847555R,International LT,2023,Diesel
L734328O,Western Star 49X,2019,LNG
Y913218O,Mack Anthem,2024,Diesel
H366949P,Western Star 49X,2018,LNG
Y598084M,Hino 268,2017,CNG
U873297G,Mack Anthem,2018,Diesel
P456271M,International LT,2023,Diesel
N702446H,Navistar 4300,2020,Diesel
M459890D,Peterbilt 579,2022,CNG
H660947M,Hino 268,2023,CNG
U062646V,Kenworth T680,2016,Diesel
L889987R,Mack Anthem,2018,Diesel
U446312H,Peterbilt 579,2024,CNG
T420927L,International LT,2017,Diesel
R390981F,Freightliner Cascadia,2020,Electric
P220215G,Peterbilt 579,2021,CNG
G285136R,Freightliner Cascadia,2019,Electric
K054165O,Hino 268,2022,CNG
E700877X,Navistar 4300,2020,Diesel
K190032U,Kenworth T680,2019,Diesel
G607347V,Hino 268,2016,CNG
I432674T,Mack Anthem,2016,Diesel
I643103N,Western Star 49X,2023,LNG
T385437B,Western Star 49X,2015,LNG
I730585L,Volvo VNL,2018,LNG
N196459A,Mack Anthem,2022,Diesel
I822431R,Freightliner Cascadia,2023,Electric
N125588H,Hino 268,2019,CNG
I392307H,Navistar 4300,2024,Diesel
Q412570A,Western Star 49X,2018,LNG
T707792Q,Mack Anthem,2015,Diesel
E547597G,Western Star 49X,2022,LNG
N315687H,Hino 268,2016,CNG
U024264M,Freightliner Cascadia,2021,Electric
S639468X,Western Star 49X,2020,LNG
M831090W,Volvo VNL,2017,LNG
M858726R,Kenworth T680,2016,Diesel
O275027E,International LT,2015,Diesel
V926421A,Freightliner M2,2016,Diesel
J238728B,Mack Anthem,2016,Diesel
F736649C,Navistar 4300,2023,Diesel
U695990U,Mack Anthem,2017,Diesel
W196433A,Volvo VNL,2021,LNG
E239502E,Peterbilt 579,2015,CNG
C187000I,Hino 268,2015,CNG
I222053V,Freightliner M2,2016,Diesel
T208939W,International LT,2024,Diesel
S608980B,Mack Anthem,2019,Diesel
S617101E,Western Star 49X,2018,LNG
N824759U,Peterbilt 579,2018,CNG
Y117390Z,Hino 268,2024,CNG
O650688U,Hino 268,2019,CNG
D857602M,Navistar 4300,2020,Diesel
J160350S,Peterbilt 579,2017,CNG
V450632D,Freightliner M2,2023,Diesel
M052416Q,Hino 268,2020,CNG
Y564686D,Peterbilt 579,2017,CNG
K646914T,Western Star 49X,2018,LNG
S840000H,Navistar 4300,2024,Diesel
R374378F,Freightliner M2,2017,Diesel
M107382L,Volvo VNL,2024,LNG
B258337X,Hino 268,2019,CNG
C223345H,Freightliner Cascadia,2016,Electric
X541776D,Volvo VNL,2018,LNG
C866100B,Western Star 49X,2018,LNG
K591186P,Peterbilt 579,2022,CNG
O479393N,Hino 268,2017,CNG
I489140Z,Kenworth T680,2018,Diesel
O963155W,Mack Anthem,2016,Diesel
F800875X,Freightliner M2,2018,Diesel
G575131W,Mack Anthem,2021,Diesel
Q382370V,Hino 268,2024,CNG
O844468U,Western Star 49X,2022,LNG
G013813X,Peterbilt 579,2018,CNG
O418429K,Volvo VNL,2016,LNG
E645701Z,Western Star 49X,2022,LNG
D733701B,Freightliner Cascadia,2017,Electric
Y536054U,Western Star 49X,2024,LNG
O971279F,Western Star 49X,2015,LNG
D082627U,Navistar 4300,2019,Diesel
S699906B,Peterbilt 579,2022,CNG
A418696N,Western Star 49X,2023,LNG
L566118J,International LT,2020,Diesel
G921075B,Freightliner M2,2022,Diesel
L435830F,Navistar 4300,2024,Diesel
Q533631L,Western Star 49X,2022,LNG
H289691R,Hino 268,2018,CNG
B617568N,International LT,2017,Diesel
Q454964R,Volvo VNL,2024,LNG
Q220699J,Western Star 49X,2017,LNG
M558300Z,Western Star 49X,2018,LNG
Z580875O,Peterbilt 579,2020,CNG
G344910H,International LT,2021,Diesel
F534883M,Mack Anthem,2018,Diesel
Y272778N,Mack Anthem,2018,Diesel
G407932F,Western Star 49X,2024,LNG
C816717Q,Freightliner Cascadia,2015,Electric
L110340D,Hino 268,2018,CNG
U736174D,Volvo VNL,2022,LNG
R417918O,Freightliner M2,2021,Diesel
F800000O,Hino 268,2020,CNG
L302148B,International LT,2021,Diesel
K401139G,Freightliner M2,2022,Diesel
X581927F,Western Star 49X,2022,LNG
S244376U,Western Star 49X,2016,LNG
K618468G,Western Star 49X,2019,LNG
N583365W,International LT,2018,Diesel
S747091G,Mack Anthem,2020,Diesel
G719290Y,Mack Anthem,2022,Diesel
B338265H,Kenworth T680,2017,Diesel
E978968I,Peterbilt 579,2024,CNG
Y666991U,Navistar 4300,2024,Diesel
R992770G,Navistar 4300,2018,Diesel
U665748B,Freightliner M2,2021,Diesel
D597759F,International LT,2015,Diesel
D673800U,Peterbilt 579,2016,CNG
X068233E,Kenworth T680,2016,Diesel
X339347S,Hino 268,2023,CNG
Z126788V,Freightliner M2,2019,Diesel
Q707385Z,Volvo VNL,2023,LNG
I052173E,Mack Anthem,2022,Diesel
R330587J,Kenworth T680,2019,Diesel
T928802X,Kenworth T680,2021,Diesel
N295576W,Mack Anthem,2017,Diesel
F308883R,Peterbilt 579,2021,CNG
Y079919U,Mack Anthem,2017,Diesel
V062315S,Navistar 4300,2016,Diesel
F344919T,Peterbilt 579,2016,CNG
F708486H,Hino 268,2015,CNG
O172498U,Hino 268,2017,CNG
X963436Y,Mack Anthem,2023,Diesel
O094162S,Freightliner Cascadia,2021,Electric
M672408Y,Kenworth T680,2018,Diesel
J287013G,Freightliner M2,2018,Diesel
R566701N,Hino 268,2016,CNG
A187171R,Volvo VNL,2016,LNG
E599920Z,Mack Anthem,2017,Diesel
L189802F,Navistar 4300,2016,Diesel
U318960C,Freightliner Cascadia,2023,Electric
P346117S,International LT,2017,Diesel
W174146X,Kenworth T680,2023,Diesel
V451233X,Kenworth T680,2018,Diesel
W916491P,Freightliner M2,2020,Diesel
M663036O,Kenworth T680,2019,Diesel
B864865D,Navistar 4300,2015,Diesel
Z744352U,Navistar 4300,2023,Diesel
O019165Z,Freightliner M2,2021,Diesel
B470669Z,Kenworth T680,2017,Diesel
E778134T,Freightliner M2,2022,Diesel
R524486X,Kenworth T680,2017,Diesel
K915350B,Peterbilt 579,2024,CNG
C435184Y,International LT,2024,Diesel
X392946G,Mack Anthem,2022,Diesel
T327100N,Peterbilt 579,2022,CNG
H912643Q,Kenworth T680,2016,Diesel
Z709819K,Peterbilt 579,2017,CNG
N050916P,Hino 268,2015,CNG
L923625O,Volvo VNL,2021,LNG
H286571S,Kenworth T680,2015,Diesel
G924912X,Mack Anthem,2022,Diesel
W300623I,Navistar 4300,2022,Diesel
X183924H,Western Star 49X,2023,LNG
Z679177H,Navistar 4300,2021,Diesel
G960791E,Navistar 4300,2022,Diesel
K292335H,Navistar 4300,2020,Diesel
P335315W,Hino 268,2024,CNG
W628724S,Western Star 49X,2019,LNG
R040941Y,Navistar 4300,2021,Diesel
I771682Q,Kenworth T680,2023,Diesel
S982182S,Freightliner Cascadia,2017,Electric
Y682163I,Freightliner M2,2018,Diesel
P970386S,Volvo VNL,2024,LNG
I732232Q,International LT,2019,Diesel
Z263783G,Volvo VNL,2024,LNG
V125414I,Western Star 49X,2021,LNG
N878475A,Western Star 49X,2019,LNG
B447417T,International LT,2015,Diesel
D344105L,International LT,2022,Diesel
N406525L,Peterbilt 579,2015,CNG
Q932444I,Peterbilt 579,2021,CNG
X345199U,Kenworth T680,2022,Diesel
Z089775Q,Hino 268,2017,CNG
B728157B,Mack Anthem,2021,Diesel
L625016L,Peterbilt 579,2017,CNG
Q043771N,Freightliner M2,2018,Diesel
Q487248L,Freightliner Cascadia,2019,Electric
W261528R,Freightliner Cascadia,2021,Electric
U305682D,Freightliner Cascadia,2022,Electric
P808207G,International LT,2018,Diesel
C098822L,Freightliner Cascadia,2017,Electric
R252109X,Western Star 49X,2015,LNG
F235479N,Peterbilt 579,2017,CNG
L027929A,Volvo VNL,2019,LNG
K251002E,International LT,2015,Diesel
Y982579K,International LT,2022,Diesel
N883594K,Western Star 49X,2021,LNG
D603224J,Volvo VNL,2024,LNG
E077003X,Mack Anthem,2020,Diesel
Y817150I,Navistar 4300,2023,Diesel
G524608J,Freightliner Cascadia,2015,Electric
U959208H,Freightliner Cascadia,2016,Electric
Y512286C,International LT,2020,Diesel
K099974R,Peterbilt 579,2019,CNG
D117159P,Navistar 4300,2017,Diesel
I648737S,Freightliner M2,2016,Diesel
M590125K,Kenworth T680,2023,Diesel
W684834O,Mack Anthem,2015,Diesel
E297867V,Freightliner M2,2023,Diesel
W429599U,Peterbilt 579,2023,CNG
D719477C,International LT,2015,Diesel
X719103M,Freightliner Cascadia,2021,Electric
H363592O,International LT,2024,Diesel
W723405O,Freightliner Cascadia,2020,Electric
A155886P,Hino 268,2020,CNG
Y143870H,Mack Anthem,2020,Diesel
S154211H,Freightliner M2,2023,Diesel
T895949H,Hino 268,2016,CNG
H926595E,Freightliner Cascadia,2022,Electric
J336664H,Western Star 49X,2023,LNG
B431374W,Freightliner M2,2023,Diesel
G019801A,Hino 268,2023,CNG
R638224P,Volvo VNL,2017,LNG
F265495Q,Western Star 49X,2020,LNG
G898197P,Freightliner Cascadia,2019,Electric
W551791S,Kenworth T680,2017,Diesel
R369803X,Peterbilt 579,2016,CNG
S948930N,Hino 268,2021,CNG
C408091A,Mack Anthem,2021,Diesel
F695698M,Peterbilt 579,2015,CNG
E833316L,Freightliner M2,2019,Diesel
T266403D,Freightliner M2,2017,Diesel
K750599B,Peterbilt 579,2021,CNG
Y640810C,Hino 268,2018,CNG
Y109179X,Western Star 49X,2017,LNG
I105920Y,Western Star 49X,2023,LNG
W537494S,Hino 268,2019,CNG
H583931X,Peterbilt 579,2015,CNG
Q665493D,Volvo VNL,2017,LNG
G812688U,Freightliner M2,2019,Diesel
L107863D,Freightliner Cascadia,2016,Electric
F197030O,Peterbilt 579,2022,CNG
T817623L,Kenworth T680,2022,Diesel
P558811V,Volvo VNL,2016,LNG
G912776X,Freightliner Cascadia,2020,Electric
T180784I,Hino 268,2020,CNG
Q467600Q,Freightliner Cascadia,2019,Electric
F259765F,Hino 268,2023,CNG
T254458Z,Navistar 4300,2020,Diesel
E795196Q,International LT,2023,Diesel
S990140L,Kenworth T680,2024,Diesel
B054449K,Navistar 4300,2019,Diesel
J521653N,Hino 268,2018,CNG
Y739076V,Peterbilt 579,2015,CNG
L675244A,Western Star 49X,2022,LNG
F315799A,Mack Anthem,2020,Diesel
R658112X,Navistar 4300,2019,Diesel
O077836U,Freightliner Cascadia,2021,Electric
K096801I,Freightliner M2,2024,Diesel
N271662M,Mack Anthem,2019,Diesel
D352601O,Volvo VNL,2017,LNG
E726558N,Navistar 4300,2018,Diesel
I261354C,Peterbilt 579,2018,CNG
P018233X,Freightliner Cascadia,2017,Electric
C200253R,Volvo VNL,2023,LNG
I674071X,Navistar 4300,2020,Diesel
Z533115S,Western Star 49X,2021,LNG
D835628V,Western Star 49X,2024,LNG
P318483Y,International LT,2019,Diesel
T492152L,Volvo VNL,2018,LNG
Y645871Y,Kenworth T680,2024,Diesel
K393032G,Freightliner Cascadia,2016,Electric
G688070G,International LT,2015,Diesel
Z215574R,Western Star 49X,2021,LNG
I125121I,Western Star 49X,2017,LNG
K334017T,Western Star 49X,2022,LNG
E194455B,Freightliner M2,2020,Diesel
A696253C,International LT,2016,Diesel
O117120T,Mack Anthem,2018,Diesel
Y574175W,Freightliner Cascadia,2022,Electric
L923002S,Western Star 49X,2024,LNG
Y223716T,Peterbilt 579,2021,CNG
N333519N,Western Star 49X,2018,LNG
I721115N,Mack Anthem,2018,Diesel
U270993D,Hino 268,2017,CNG
O676420T,International LT,2017,Diesel
E117310C,Hino 268,2020,CNG
D910460V,Hino 268,2021,CNG
A204956I,Volvo VNL,2016,LNG
M651038W,Volvo VNL,2016,LNG
O372278K,Freightliner M2,2017,Diesel
L290253T,Navistar 4300,2021,Diesel
X488807A,Freightliner Cascadia,2016,Electric
U965776T,Kenworth T680,2015,Diesel
K395928G,Freightliner M2,2022,Diesel
V463124R,Kenworth T680,2015,Diesel
E347491Z,Kenworth T680,2019,Diesel
J084781K,International LT,2020,Diesel
Z223449S,Hino 268,2016,CNG
W474848Y,Freightliner M2,2017,Diesel
S694451Q,Mack Anthem,2020,Diesel
V215729L,Volvo VNL,2015,LNG
E142607O,Hino 268,2016,CNG
I391438C,Freightliner M2,2024,Diesel
U646123M,Freightliner M2,2018,Diesel
U554525K,Kenworth T680,2021,Diesel
Y137206D,Freightliner Cascadia,2016,Electric
B730978P,Mack Anthem,2024,Diesel
Z993468K,Mack Anthem,2024,Diesel
M075391F,Navistar 4300,2016,Diesel
F938289G,Hino 268,2019,CNG
G350739T,Kenworth T680,2016,Diesel
Z855050G,Freightliner Cascadia,2024,Electric
I151146D,Mack Anthem,2017,Diesel
E856621T,Navistar 4300,2016,Diesel
G627243H,Freightliner Cascadia,2024,Electric
T445651R,Peterbilt 579,2019,CNG
E997530S,Freightliner M2,2021,Diesel
U463384U,International LT,2017,Diesel
I450122E,Freightliner Cascadia,2022,Electric
N988481F,International LT,2023,Diesel
J205930K,Mack Anthem,2019,Diesel
P893092L,Western Star 49X,2021,LNG
B202417A,Peterbilt 579,2019,CNG
S970683J,International LT,2018,Diesel
S282667D,Peterbilt 579,2022,CNG
U009773S,Kenworth T680,2017,Diesel
W496259L,Freightliner M2,2016,Diesel
V012135M,Freightliner M2,2024,Diesel
R012534M,Volvo VNL,2017,LNG
D646693D,Volvo VNL,2022,LNG
B675644N,Kenworth T680,2017,Diesel
E148221N,Volvo VNL,2019,LNG
X457205U,International LT,2020,Diesel
W321685U,Hino 268,2018,CNG
A026945W,Freightliner Cascadia,2021,Electric
J836072J,Western Star 49X,2016,LNG
J849939Y,Navistar 4300,2024,Diesel
H886689A,Mack Anthem,2018,Diesel
W106528S,Freightliner Cascadia,2015,Electric
V430523B,International LT,2017,Diesel
B141637D,Western Star 49X,2018,LNG
Q274200O,International LT,2016,Diesel
C502940K,Freightliner M2,2015,Diesel
G939778F,Mack Anthem,2021,Diesel
W048591X,Kenworth T680,2022,Diesel
J905424W,Freightliner Cascadia,2021,Electric
X784041T,International LT,2022,Diesel
D714088F,Kenworth T680,2020,Diesel
L951569K,Western Star 49X,2020,LNG
C291379O,Hino 268,2017,CNG
T168840S,Freightliner M2,2017,Diesel
S763309L,Mack Anthem,2021,Diesel
U479141P,Volvo VNL,2022,LNG
Y928427F,International LT,2017,Diesel
X741653C,Freightliner M2,2017,Diesel
A466785N,Peterbilt 579,2023,CNG
E716436P,Hino 268,2022,CNG
Z116859X,Mack Anthem,2018,Diesel
H241716F,Kenworth T680,2021,Diesel
O478256P,Freightliner M2,2015,Diesel
H432510F,International LT,2020,Diesel
Y028831R,Hino 268,2020,CNG
F914101V,International LT,2015,Diesel
Q201747S,Volvo VNL,2022,LNG
G815796L,Navistar 4300,2018,Diesel
V423802E,Peterbilt 579,2017,CNG
X245824E,International LT,2023,Diesel
L080709D,Mack Anthem,2023,Diesel
S857436S,Western Star 49X,2023,LNG
D254247L,Hino 268,2024,CNG
Z691546B,Hino 268,2018,CNG
D920729J,Western Star 49X,2015,LNG
G231870A,Freightliner Cascadia,2024,Electric
L334453C,Navistar 4300,2019,Diesel
S508290M,Navistar 4300,2022,Diesel
I856980J,Freightliner M2,2019,Diesel
M440278A,International LT,2015,Diesel
G268494R,Western Star 49X,2024,LNG
D479044U,Volvo VNL,2022,LNG
Z153792O,Western Star 49X,2022,LNG
R060823H,Hino 268,2024,CNG
E200029I,Peterbilt 579,2020,CNG
B067824U,Hino 268,2018,CNG
L530922K,Freightliner Cascadia,2019,Electric
N128816B,Mack Anthem,2015,Diesel
O358322K,Peterbilt 579,2024,CNG
R723442E,Mack Anthem,2021,Diesel
P608388Q,Mack Anthem,2015,Diesel
I148994Q,Navistar 4300,2018,Diesel
G223322U,Freightliner M2,2018,Diesel
K466199C,Freightliner Cascadia,2018,Electric
M108186J,Western Star 49X,2015,LNG
F133752X,Western Star 49X,2015,LNG
I455447J,Volvo VNL,2019,LNG
R700489O,Navistar 4300,2023,Diesel
Q974422V,Western Star 49X,2015,LNG
Q973037G,Navistar 4300,2019,Diesel
O508374J,Hino 268,2015,CNG
A006083O,Freightliner Cascadia,2024,Electric
W773667X,Peterbilt 579,2023,CNG
F859877U,Navistar 4300,2019,Diesel
O573335G,Volvo VNL,2018,LNG
I379023U,Western Star 49X,2023,LNG
U940569S,International LT,2017,Diesel
V761927H,Navistar 4300,2018,Diesel
J120796R,Freightliner M2,2021,Diesel
K809952Q,Volvo VNL,2020,LNG
T275617P,Peterbilt 579,2022,CNG
E720170H,Freightliner M2,2016,Diesel
